Type of Food,Number of Guests,Event Type,Quantity of Food,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,300,Birthday,400,Winter,Buffet,Urban,Moderate,30
Meat,280,Corporate,350,Summer,Finger Food,Urban,Low,20
Fruits,320,Birthday,400,Summer,Buffet,Rural,High,30
Baked Goods,367,Birthday,420,Winter,Buffet,Urban,Low,40
Vegetables,220,Wedding,300,Summer,Buffet,Suburban,Low,10
Baked Goods,250,Corporate,350,All Seasons,Sit-down Dinner,Urban,Moderate,25
Dairy Products,320,Social Gathering,400,Summer,Sit-down Dinner,Urban,High,35
Baked Goods,350,Social Gathering,450,All Seasons,Finger Food,Suburban,Low,20
Baked Goods,320,Social Gathering,400,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,280,Social Gathering,350,Winter,Finger Food,Rural,Moderate,20
Baked Goods,220,Social Gathering,300,Summer,Finger Food,Suburban,Moderate,15
Dairy Products,310,Social Gathering,350,All Seasons,Finger Food,Rural,High,35
Baked Goods,342,Social Gathering,405,All Seasons,Finger Food,Urban,Moderate,29
Dairy Products,350,Social Gathering,450,All Seasons,Finger Food,Suburban,Low,20
Dairy Products,350,Birthday,450,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Meat,400,Wedding,500,All Seasons,Sit-down Dinner,Urban,High,40
Vegetables,302,Birthday,371,All Seasons,Buffet,Suburban,Low,27
Meat,220,Corporate,300,Winter,Finger Food,Rural,Moderate,15
Fruits,400,Wedding,500,All Seasons,Sit-down Dinner,Urban,High,40
Meat,350,Wedding,450,Winter,Sit-down Dinner,Suburban,Moderate,25
Meat,250,Corporate,400,Winter,Sit-down Dinner,Urban,Low,25
Meat,453,Birthday,484,Summer,Sit-down Dinner,Suburban,High,54
Meat,208,Wedding,282,Winter,Sit-down Dinner,Rural,Moderate,22
Meat,320,Wedding,400,Winter,Finger Food,Rural,Moderate,25
Fruits,292,Wedding,470,Summer,Sit-down Dinner,Rural,High,50
Meat,240,Wedding,450,Summer,Sit-down Dinner,Suburban,Low,20
Meat,220,Wedding,300,Winter,Finger Food,Suburban,Moderate,15
Meat,350,Wedding,450,Summer,Sit-down Dinner,Suburban,High,35
Vegetables,220,Wedding,300,Summer,Finger Food,Rural,Moderate,15
Meat,380,Corporate,480,Summer,Sit-down Dinner,Rural,Moderate,30
Baked Goods,320,Birthday,400,Summer,Buffet,Rural,Moderate,25
Fruits,350,Corporate,450,Winter,Finger Food,Suburban,High,30
Vegetables,350,Corporate,450,Winter,Sit-down Dinner,Urban,High,35
Fruits,280,Birthday,350,All Seasons,Finger Food,Rural,Moderate,20
Fruits,350,Corporate,450,Winter,Sit-down Dinner,Urban,High,45
Meat,400,Corporate,500,Winter,Sit-down Dinner,Suburban,High,40
Fruits,320,Corporate,400,Summer,Finger Food,Urban,Moderate,25
Meat,250,Wedding,350,Winter,Sit-down Dinner,Urban,Moderate,25
Baked Goods,400,Corporate,500,Summer,Finger Food,Rural,High,40
Fruits,280,Corporate,350,Winter,Sit-down Dinner,Suburban,Low,25
Fruits,320,Wedding,400,Summer,Sit-down Dinner,Suburban,High,35
Vegetables,320,Social Gathering,400,Winter,Buffet,Rural,High,30
Meat,220,Corporate,300,Winter,Finger Food,Suburban,Moderate,15
Fruits,350,Birthday,450,Summer,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,400,Wedding,500,Winter,Finger Food,Urban,High,40
Fruits,350,Birthday,450,Winter,Sit-down Dinner,Suburban,High,40
Meat,350,Corporate,450,All Seasons,Sit-down Dinner,Rural,Moderate,30
Baked Goods,300,Wedding,400,Summer,Finger Food,Rural,Moderate,15
Meat,350,Wedding,450,Summer,Sit-down Dinner,Suburban,Moderate,25
Vegetables,400,Wedding,500,Summer,Sit-down Dinner,Suburban,High,40
Vegetables,280,Birthday,350,All Seasons,Finger Food,Urban,Moderate,20
Fruits,310,Corporate,350,All Seasons,Finger Food,Urban,High,35
Vegetables,220,Social Gathering,300,Summer,Finger Food,Suburban,Low,15
Baked Goods,350,Corporate,450,All Seasons,Buffet,Urban,Moderate,30
Fruits,380,Social Gathering,480,Summer,Buffet,Suburban,Moderate,30
Fruits,300,Social Gathering,400,Winter,Buffet,Suburban,High,30
Dairy Products,284,Birthday,443,All Seasons,Buffet,Urban,Low,32
Baked Goods,320,Wedding,400,Summer,Finger Food,Rural,Moderate,25
Vegetables,350,Corporate,450,Winter,Sit-down Dinner,Urban,Moderate,25
Fruits,250,Wedding,350,Winter,Sit-down Dinner,Suburban,Moderate,20
Vegetables,400,Wedding,500,Summer,Sit-down Dinner,Suburban,High,40
Baked Goods,350,Wedding,450,Winter,Sit-down Dinner,Suburban,High,45
Fruits,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,50
Baked Goods,320,Social Gathering,400,All Seasons,Buffet,Rural,High,30
Meat,280,Social Gathering,350,All Seasons,Finger Food,Suburban,Moderate,20
Baked Goods,350,Birthday,450,All Seasons,Sit-down Dinner,Urban,High,45
Vegetables,220,Social Gathering,450,Summer,Finger Food,Suburban,Moderate,30
Fruits,400,Social Gathering,500,Winter,Sit-down Dinner,Suburban,High,45
Baked Goods,220,Corporate,300,All Seasons,Finger Food,Urban,Moderate,15
Dairy Products,230,Wedding,500,All Seasons,Sit-down Dinner,Urban,Low,20
Dairy Products,438,Wedding,493,Summer,Sit-down Dinner,Urban,Moderate,35
Vegetables,300,Social Gathering,400,Summer,Sit-down Dinner,Suburban,High,35
Dairy Products,300,Corporate,400,All Seasons,Buffet,Suburban,High,30
Fruits,280,Social Gathering,350,All Seasons,Sit-down Dinner,Rural,Low,25
Dairy Products,350,Birthday,450,Winter,Sit-down Dinner,Urban,Moderate,25
Dairy Products,300,Corporate,400,All Seasons,Finger Food,Suburban,Low,15
Vegetables,280,Corporate,350,All Seasons,Finger Food,Suburban,Moderate,20
Baked Goods,250,Corporate,350,Winter,Sit-down Dinner,Rural,Moderate,25
Baked Goods,220,Birthday,300,All Seasons,Finger Food,Suburban,Moderate,15
Dairy Products,342,Corporate,405,All Seasons,Finger Food,Urban,Moderate,29
Baked Goods,380,Social Gathering,480,Winter,Buffet,Suburban,Moderate,30
Dairy Products,300,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,25
Baked Goods,280,Social Gathering,350,Winter,Finger Food,Suburban,Moderate,20
Baked Goods,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Baked Goods,300,Corporate,400,All Seasons,Buffet,Suburban,High,40
Meat,300,Social Gathering,400,Winter,Sit-down Dinner,Suburban,High,35
Fruits,400,Social Gathering,500,Winter,Sit-down Dinner,Suburban,Low,25
Fruits,300,Birthday,400,Summer,Sit-down Dinner,Suburban,Moderate,15
Fruits,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,50
Dairy Products,400,Wedding,500,Winter,Sit-down Dinner,Urban,High,50
Vegetables,280,Birthday,480,All Seasons,Sit-down Dinner,Urban,Low,15
Baked Goods,400,Wedding,500,All Seasons,Sit-down Dinner,Urban,Low,25
Dairy Products,280,Birthday,350,Winter,Finger Food,Rural,Moderate,20
Dairy Products,250,Corporate,350,Winter,Finger Food,Urban,Moderate,20
Dairy Products,280,Corporate,350,All Seasons,Finger Food,Urban,Low,20
Dairy Products,250,Wedding,350,Winter,Sit-down Dinner,Urban,Moderate,25
Baked Goods,380,Social Gathering,480,Winter,Buffet,Suburban,Moderate,30
Dairy Products,350,Wedding,450,All Seasons,Sit-down Dinner,Urban,High,40
Baked Goods,250,Corporate,350,Summer,Sit-down Dinner,Suburban,Moderate,20
Baked Goods,300,Social Gathering,400,All Seasons,Buffet,Urban,Moderate,30
Baked Goods,400,Social Gathering,500,Summer,Sit-down Dinner,Rural,High,50
Baked Goods,290,Social Gathering,374,All Seasons,Finger Food,Rural,Low,27
Dairy Products,350,Wedding,450,Summer,Sit-down Dinner,Suburban,High,35
Baked Goods,491,Social Gathering,497,All Seasons,Finger Food,Urban,High,32
Baked Goods,350,Birthday,450,All Seasons,Sit-down Dinner,Urban,Moderate,30
Baked Goods,247,Corporate,348,All Seasons,Finger Food,Suburban,Moderate,16
Dairy Products,400,Birthday,500,All Seasons,Sit-down Dinner,Suburban,High,45
Fruits,250,Social Gathering,350,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,220,Corporate,300,All Seasons,Sit-down Dinner,Suburban,Low,15
Baked Goods,320,Social Gathering,400,Winter,Sit-down Dinner,Suburban,High,40
Dairy Products,320,Birthday,400,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,250,Wedding,350,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Baked Goods,250,Birthday,350,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Meat,284,Birthday,443,Summer,Buffet,Urban,Low,32
Meat,280,Corporate,350,Winter,Buffet,Urban,Low,20
Meat,300,Wedding,400,Winter,Buffet,Suburban,Low,20
Meat,300,Corporate,400,Winter,Buffet,Suburban,High,40
Meat,310,Corporate,450,All Seasons,Buffet,Urban,Low,25
Meat,412,Wedding,478,Winter,Sit-down Dinner,Urban,Low,38
Meat,434,Wedding,495,Summer,Sit-down Dinner,Rural,Low,36
Meat,250,Birthday,350,Summer,Finger Food,Suburban,High,30
Meat,400,Corporate,500,Winter,Sit-down Dinner,Urban,High,50
Fruits,280,Birthday,350,Summer,Finger Food,Rural,Low,20
Meat,300,Social Gathering,400,Winter,Buffet,Suburban,Low,20
Meat,300,Wedding,400,Winter,Sit-down Dinner,Urban,Low,20
Meat,400,Wedding,500,Winter,Sit-down Dinner,Suburban,High,40
Meat,320,Social Gathering,400,Winter,Buffet,Rural,High,30
Meat,250,Social Gathering,350,All Seasons,Buffet,Urban,Low,10
Vegetables,320,Corporate,400,All Seasons,Buffet,Rural,High,30
Meat,300,Social Gathering,400,Winter,Buffet,Suburban,Low,20
Meat,320,Corporate,400,Winter,Finger Food,Urban,Moderate,25
Fruits,400,Birthday,500,Winter,Sit-down Dinner,Suburban,High,40
Meat,310,Social Gathering,450,Summer,Finger Food,Suburban,Low,25
Fruits,250,Wedding,350,All Seasons,Finger Food,Rural,High,30
Meat,300,Corporate,400,Summer,Finger Food,Suburban,Moderate,25
Vegetables,300,Birthday,400,Winter,Finger Food,Suburban,Moderate,15
Vegetables,280,Corporate,480,Winter,Sit-down Dinner,Urban,Low,15
Baked Goods,434,Wedding,495,Summer,Sit-down Dinner,Urban,Low,36
Fruits,280,Social Gathering,350,Winter,Finger Food,Urban,Low,20
Fruits,400,Corporate,350,Winter,Sit-down Dinner,Suburban,High,35
Baked Goods,300,Social Gathering,400,Winter,Buffet,Rural,High,30
Meat,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,High,45
Meat,250,Wedding,350,All Seasons,Sit-down Dinner,Rural,Moderate,20
Meat,230,Wedding,500,All Seasons,Sit-down Dinner,Rural,Moderate,30
Meat,220,Social Gathering,300,Winter,Finger Food,Rural,Moderate,15
Baked Goods,380,Corporate,500,Winter,Sit-down Dinner,Urban,High,35
Fruits,280,Corporate,350,All Seasons,Finger Food,Urban,Moderate,20
Fruits,300,Social Gathering,400,All Seasons,Buffet,Suburban,High,30
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Suburban,High,50
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Suburban,High,50
Dairy Products,280,Birthday,350,Summer,Finger Food,Rural,Moderate,20
Baked Goods,300,Birthday,400,All Seasons,Finger Food,Rural,Low,20
Baked Goods,280,Social Gathering,350,Summer,Finger Food,Rural,Low,20
Meat,350,Social Gathering,450,Winter,Sit-down Dinner,Suburban,High,45
Vegetables,300,Wedding,400,Winter,Sit-down Dinner,Suburban,Moderate,25
Meat,320,Social Gathering,400,Winter,Finger Food,Suburban,Moderate,25
Dairy Products,230,Social Gathering,500,Winter,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,250,Social Gathering,350,All Seasons,Sit-down Dinner,Urban,Moderate,20
Meat,300,Corporate,400,Summer,Buffet,Suburban,Low,20
Meat,320,Social Gathering,400,Winter,Finger Food,Suburban,Moderate,25
Fruits,350,Social Gathering,450,All Seasons,Finger Food,Suburban,Low,10
Dairy Products,250,Social Gathering,350,Summer,Finger Food,Urban,High,35
Dairy Products,350,Corporate,450,Winter,Sit-down Dinner,Suburban,High,45
Fruits,350,Wedding,450,Summer,Buffet,Urban,High,40
Vegetables,350,Corporate,450,Summer,Buffet,Urban,High,40
Fruits,250,Wedding,400,Winter,Sit-down Dinner,Urban,Low,25
Fruits,320,Wedding,400,Summer,Finger Food,Rural,Moderate,25
Meat,267,Birthday,393,Summer,Sit-down Dinner,Suburban,Low,24
Fruits,400,Corporate,500,Summer,Sit-down Dinner,Urban,Low,25
Fruits,350,Corporate,350,Winter,Finger Food,Urban,High,54
Meat,300,Corporate,400,Winter,Finger Food,Rural,Moderate,20
Fruits,439,Birthday,459,All Seasons,Buffet,Suburban,Low,36
Baked Goods,275,Wedding,388,Winter,Finger Food,Rural,Low,16
Vegetables,320,Social Gathering,400,Winter,Buffet,Rural,High,30
Fruits,250,Corporate,480,Winter,Finger Food,Suburban,Low,20
Fruits,300,Wedding,400,Summer,Finger Food,Rural,Moderate,15
Vegetables,220,Corporate,300,Summer,Finger Food,Urban,Low,15
Meat,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,High,35
Baked Goods,250,Corporate,480,Winter,Finger Food,Urban,Low,20
Vegetables,280,Wedding,350,Summer,Sit-down Dinner,Urban,Low,20
Dairy Products,320,Birthday,480,Winter,Buffet,Suburban,High,40
Vegetables,230,Wedding,500,Summer,Sit-down Dinner,Urban,Moderate,30
Vegetables,250,Birthday,350,Summer,Sit-down Dinner,Suburban,High,40
Vegetables,300,Social Gathering,400,Summer,Buffet,Urban,Moderate,30
Vegetables,261,Wedding,350,Winter,Sit-down Dinner,Urban,Moderate,23
Fruits,300,Corporate,450,Winter,Finger Food,Suburban,High,35
Dairy Products,280,Birthday,350,All Seasons,Sit-down Dinner,Urban,Low,25
Dairy Products,320,Wedding,400,All Seasons,Finger Food,Rural,Moderate,25
Baked Goods,261,Birthday,350,Summer,Sit-down Dinner,Suburban,Moderate,24
Dairy Products,380,Corporate,480,All Seasons,Buffet,Suburban,Moderate,30
Baked Goods,220,Social Gathering,300,Summer,Finger Food,Rural,Moderate,15
Fruits,250,Social Gathering,350,Summer,Finger Food,Rural,High,30
Vegetables,429,Wedding,496,Summer,Sit-down Dinner,Suburban,Low,42
Dairy Products,320,Birthday,400,All Seasons,Buffet,Rural,High,30
Baked Goods,300,Corporate,400,Summer,Finger Food,Suburban,Low,15
Dairy Products,320,Corporate,400,Winter,Buffet,Urban,Moderate,25
Dairy Products,400,Corporate,500,All Seasons,Sit-down Dinner,Suburban,High,45
Dairy Products,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,Moderate,25
Dairy Products,400,Social Gathering,500,All Seasons,Sit-down Dinner,Urban,High,50
Meat,491,Wedding,497,Summer,Finger Food,Rural,High,32
Meat,250,Corporate,350,Winter,Buffet,Suburban,Low,10
Baked Goods,280,Wedding,350,Winter,Finger Food,Rural,Moderate,15
Meat,438,Birthday,493,Winter,Sit-down Dinner,Suburban,Moderate,35
Baked Goods,472,Social Gathering,489,Winter,Buffet,Suburban,Low,36
Baked Goods,491,Birthday,497,All Seasons,Finger Food,Rural,High,32
Baked Goods,400,Corporate,500,Summer,Sit-down Dinner,Urban,High,40
Baked Goods,300,Birthday,400,Summer,Sit-down Dinner,Suburban,Low,20
Vegetables,320,Wedding,400,All Seasons,Sit-down Dinner,Suburban,High,35
Vegetables,250,Corporate,350,Winter,Finger Food,Suburban,Moderate,20
Dairy Products,400,Wedding,500,All Seasons,Finger Food,Urban,High,40
Dairy Products,280,Birthday,350,All Seasons,Finger Food,Rural,Low,15
Baked Goods,280,Social Gathering,350,Winter,Finger Food,Rural,Moderate,20
Dairy Products,400,Corporate,500,All Seasons,Sit-down Dinner,Rural,High,40
Dairy Products,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,High,45
Dairy Products,400,Birthday,500,All Seasons,Sit-down Dinner,Suburban,Low,25
Dairy Products,280,Birthday,350,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,400,Corporate,500,Winter,Sit-down Dinner,Urban,High,50
Baked Goods,350,Corporate,450,Winter,Sit-down Dinner,Urban,Moderate,25
Dairy Products,400,Wedding,500,All Seasons,Finger Food,Rural,High,40
Fruits,250,Social Gathering,350,Winter,Finger Food,Suburban,Moderate,20
Baked Goods,292,Corporate,470,All Seasons,Sit-down Dinner,Urban,High,50
Baked Goods,400,Wedding,500,All Seasons,Sit-down Dinner,Suburban,High,40
Baked Goods,320,Social Gathering,400,Summer,Finger Food,Rural,Moderate,25
Dairy Products,220,Corporate,300,All Seasons,Finger Food,Urban,Moderate,15
Baked Goods,450,Social Gathering,500,All Seasons,Finger Food,Rural,High,30
Fruits,280,Social Gathering,350,Summer,Finger Food,Suburban,Moderate,20
Meat,380,Corporate,480,Winter,Buffet,Suburban,Moderate,30
Meat,320,Wedding,400,Winter,Finger Food,Rural,Moderate,25
Meat,207,Corporate,280,Winter,Finger Food,Suburban,High,20
Meat,491,Birthday,497,Winter,Finger Food,Urban,High,38
Meat,267,Corporate,393,Summer,Sit-down Dinner,Rural,Low,24
Dairy Products,280,Corporate,350,All Seasons,Finger Food,Urban,Moderate,20
Baked Goods,280,Corporate,350,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,280,Corporate,350,All Seasons,Finger Food,Rural,Moderate,20
Baked Goods,400,Social Gathering,500,Winter,Sit-down Dinner,Suburban,High,50
Dairy Products,320,Birthday,400,All Seasons,Finger Food,Suburban,Moderate,20
Dairy Products,280,Social Gathering,350,Summer,Finger Food,Rural,Moderate,20
Baked Goods,491,Social Gathering,497,All Seasons,Finger Food,Suburban,High,32
Dairy Products,438,Corporate,493,All Seasons,Sit-down Dinner,Urban,Moderate,35
Dairy Products,350,Corporate,450,All Seasons,Sit-down Dinner,Rural,Moderate,25
Baked Goods,442,Social Gathering,482,All Seasons,Sit-down Dinner,Suburban,Low,32
Meat,270,Corporate,470,Winter,Sit-down Dinner,Urban,High,40
Meat,284,Social Gathering,443,Winter,Buffet,Rural,Low,32
Meat,250,Wedding,400,Winter,Sit-down Dinner,Urban,Low,25
Meat,320,Corporate,400,Summer,Finger Food,Rural,Moderate,25
Meat,220,Wedding,300,Winter,Finger Food,Rural,Moderate,15
Meat,367,Social Gathering,420,All Seasons,Buffet,Urban,Low,40
Meat,434,Birthday,495,Winter,Sit-down Dinner,Suburban,High,36
Meat,280,Corporate,350,Summer,Finger Food,Suburban,Moderate,20
Meat,240,Birthday,450,All Seasons,Sit-down Dinner,Urban,Low,20
Fruits,380,Birthday,480,Winter,Buffet,Suburban,Moderate,30
Dairy Products,320,Birthday,400,Summer,Buffet,Rural,High,40
Fruits,250,Social Gathering,480,Winter,Finger Food,Urban,Low,20
Fruits,302,Corporate,371,All Seasons,Buffet,Suburban,Low,27
Fruits,300,Wedding,400,Winter,Sit-down Dinner,Urban,High,40
Vegetables,267,Corporate,393,Summer,Sit-down Dinner,Urban,Low,24
Fruits,320,Corporate,400,All Seasons,Buffet,Urban,Moderate,25
Baked Goods,488,Corporate,498,Winter,Finger Food,Urban,High,63
Meat,350,Corporate,450,Winter,Sit-down Dinner,Suburban,High,45
Fruits,300,Social Gathering,400,All Seasons,Buffet,Suburban,High,40
Vegetables,300,Birthday,400,Summer,Finger Food,Suburban,Moderate,15
Dairy Products,472,Birthday,489,All Seasons,Buffet,Urban,Low,36
Fruits,380,Corporate,480,All Seasons,Buffet,Suburban,Moderate,30
Vegetables,429,Wedding,496,All Seasons,Sit-down Dinner,Rural,Low,42
Baked Goods,220,Birthday,300,All Seasons,Finger Food,Suburban,Low,15
Meat,220,Social Gathering,300,Summer,Finger Food,Suburban,Low,15
Fruits,350,Corporate,450,Winter,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,250,Corporate,350,Winter,Finger Food,Urban,High,30
Fruits,230,Wedding,500,Winter,Sit-down Dinner,Suburban,Moderate,30
Dairy Products,320,Social Gathering,400,Summer,Buffet,Rural,High,30
Meat,320,Corporate,400,Winter,Buffet,Urban,High,45
Meat,310,Wedding,450,Summer,Buffet,Urban,Low,25
Fruits,491,Birthday,497,Winter,Finger Food,Rural,High,32
Meat,491,Birthday,497,Summer,Finger Food,Suburban,High,32
Meat,280,Birthday,350,Summer,Finger Food,Rural,Moderate,20
Meat,292,Corporate,470,Winter,Sit-down Dinner,Rural,High,50
Vegetables,300,Wedding,400,Summer,Buffet,Suburban,High,30
Baked Goods,320,Birthday,400,Winter,Buffet,Rural,High,30
Fruits,310,Corporate,350,Summer,Finger Food,Urban,High,35
Vegetables,280,Social Gathering,350,Summer,Buffet,Urban,Low,20
Meat,320,Social Gathering,400,All Seasons,Buffet,Rural,High,30
Meat,300,Corporate,400,Summer,Finger Food,Rural,Moderate,25
Vegetables,380,Wedding,500,Winter,Sit-down Dinner,Urban,High,35
Fruits,380,Birthday,480,All Seasons,Buffet,Suburban,Moderate,30
Fruits,400,Wedding,500,Winter,Sit-down Dinner,Urban,High,45
Fruits,350,Wedding,450,All Seasons,Sit-down Dinner,Urban,High,35
Meat,320,Birthday,400,Summer,Finger Food,Suburban,Moderate,20
Meat,350,Wedding,450,All Seasons,Sit-down Dinner,Suburban,High,35
Fruits,429,Wedding,496,Summer,Sit-down Dinner,Suburban,Low,42
Vegetables,350,Corporate,450,Summer,Sit-down Dinner,Urban,High,35
Fruits,491,Birthday,497,All Seasons,Finger Food,Urban,High,32
Meat,350,Birthday,450,Winter,Sit-down Dinner,Urban,Moderate,25
Meat,491,Social Gathering,497,Winter,Finger Food,Urban,High,32
Baked Goods,310,Corporate,350,Summer,Finger Food,Urban,High,35
Baked Goods,284,Social Gathering,443,Winter,Buffet,Rural,Low,32
Fruits,220,Wedding,300,All Seasons,Finger Food,Urban,Moderate,15
Fruits,250,Wedding,350,All Seasons,Finger Food,Rural,Moderate,20
Baked Goods,400,Wedding,500,Winter,Sit-down Dinner,Rural,High,45
